,0,,
0,Asgar Ali Hospital Gandaria, Dhaka[2],
1,Ad-din Akij Medical College Hospital, Khulna,
2,Ad-din Sakina Medical College Hospital, Jessore,
3,Ad-din Women's Medical College Hospital, Dhaka,
4,Aichi Hospital, Dhaka,
5,Arif Memorial Hospital, Barishal,
6,Al Haramain Hospital, Sylhet[3],
7,Ambia Memorial Hospital, Barisal,
8,Anwer Khan Modern Hospital Ltd, Dhaka,
9,Aysha Memorial Specialised Hospital, Dhaka,
10,Bangabandhu Memorial Hospital (BBMH), Chittagong,
11,Bangabandhu Sheikh Mujib Medical University,,
12,Bangladesh College of Nursing,,
13,Bangladesh Eye Hospital Limited, Dhaka[4],
14,Bangladesh Medical College Hospital, Dhaka,
15,Bangladesh Specialized Hospital,,
16,Bangladesh Spine & Orthopaedic General Hospital Ltd," Panthapath,  Dhaka",
17,Basundhura Hospital (Pvt.) Ltd.,,
18,BGB Hospital,,
19,Bangladesh Institute of Research and Rehabilitation for Diabetes, Endocrine and Metabolic Disorders (BIRDEM),
20,BRB Hospital, Panthapath Dhaka,
21,Cardio Care Specialized and General Hospital Ltd, Dhaka,
22,Care Hospital, Dhaka[5],
23,Care Zone Hospital, Dhaka,
24,Catharsis Medical Centre Limited, Gazipur,
25,Central Hospital, Dhaka,
26,Chander Hasi Hospital Limited," Habiganj,  Sylhet",
27,Chittagong Eye Infirmary and Training Hospital,,
28,Chittagong Maa-O-Shishu Hospital, Chittagong,
29,Chittagong Diabetic General Hospital,,
30,Chittagong Medical College Hospital,,
31,CMH (Combined Military Hospital),,
32,Comilla Medical College Hospital, Comilla,
33,Continental Hospital Ltd.,,
34,Cox's Bazar Hospital for Women & Children, Chittagong[6],
35,Dhaka Central International Medical College Hospital, Adabor,
36,Dhaka Community Hospital,,
37,Dhaka Dental College and Hospital,,
38,Dhaka Hospital, Dhaka,
39,Dhaka Medical College & Hospital,,
40,Dhaka National Medical College And Hospital Institute,,
41,Dhaka Shishu Hospital,,
42,Dinajpur Medical College Hospital,,
43,Dr. Alauddin Ahmed Clinic, Jhalakati,
44,Duwell Medical,,
45,Eastern Hospital & Medical Research Centre,,
46,Esperto Health Care & Research Center, Dhaka,
47,Farazy Hospital Ltd, Dhaka[7],
48,Farazy Dental Hospital & Research Center, Dhaka[8],
49,Gazi Medical College Hospital, Khulna,
50,Genuine Cancer Hospital Limited, Chittagong,
51,Gonoshasthaya Nagar Hospital,,
52,Government Homeopathic Medical College Hospital,,
53,Greenland Hospital Limited," Sector - 10,  Uttara",
54,Holy Family Red Crescent Medical College Hospital, Dhaka,
55,Ibn Sina Hospital Sylhet Ltd,,
56,Ibn Sina Hospitals, Dhaka[9],
57,Institute of Child and Mother Health, Dhaka,
58,Institute of Laser Surgery & Hospital, Dhaka[10],
59,National Institute of Mental Health and Hospital,,
60,Ispahani Islamia Eye Institute and Hospital (IIEI&H)[11],,
61,Japan East West Medical College Hospital, Dhaka,
62,Khwaja Yunus Ali Medical College and Hospital,,
63,Khulna Medical College Hospital, Khulna,
64,Kumudini Hospital, Tangail,
65,Kuwait Bangladesh Friendship Govt. Hospital, Uttara,
66,Labaid Cardiac Hospital, Dhaka[12],
67,Labaid Specialized Hospital], Dhaka,
68,Maa Nursing Home & Diagnostic Centre, Tangail,
69,Medinova Medical Services Ltd.[13],,
70,MH Samorita Hospital & Medical College," love Road,  Tejgaon",
71,Mikrani Dental Banasree Dhaka (Dental Hospital) Dhaka[14],,
72,Mojibunnessa Eye Hospital, Dhaka,
73,Moulana Bhasani Medical College Hospital, Dhaka,
74,Mount Adora Hospital, Sylhet.,
75,Mental Hospital, Pabna,
76,Mymensingh Medical College Hospital,,
77,National Hospital Chattagram, Chattagram,
78,National Heart Foundation, Sylhet.,
79,National Institute of Cardiovascular Diseases[15],,
80,National Institute of Ear, Nose and Throat[16],
81,National Institute of Kidney Disease & Urology[15],,
82,National Institute of Mental Health[15],,
83,National Institute of Neuroscience,,
84,National Institute of Preventive and Social Medicine[15],,
85,North East Medical College and Hospital,,
86,Nurjahan Hospital Ltd, Sylhet.,
87,Oasis Hospital (Pvt) Ltd, Sylhet,
88,Sylhet, M.A.G Osmani Medical College and Hospital,
89,Pongu Hospital Jessore (Railget," Mujib Sarak,  Jessore",
90,Popular Specialized Hospital Ltd.,,
91,Rajshahi Medical College Hospital,,
92,Rangpur Medical College Hospital, Rangpur,
93,Rashmono General Hospital, Dhaka,
94,Royal Hospital and research Center Ltd., Chittagong,
95,Royal Hospital And Research Center Ltd., Chittagong,
96,Saint Martin Hospital[17],,
97,Samorita Hospital Ltd.,,
98,Saphena Women's Dental College & Hospital[18],,
99,Shaheed Monsur Ali Medical College Hospital, Dhaka,
100,Shaheed Ziaur Rahman Medical College Hospital, Bogra,
101,Shalahuddin Hospital,,
102,Sheikh Fazilatunnessa Mujib Memorial KPJ Specialized Hospital & Nursing College,,
103,Sher-e-Bangla Medical College Hospital, Barisal,
104,Siddiqia Eye Foundation, Mymensingh,
105,Sir Salimullah Medical College & Mitford Hospital, Dhaka,
106,Square Hospital Ltd., Dhaka[19],
107,Sylhet Eye Hospital & Laser Centre,,
108,Sylhet Maa O Shishu Hospital[20],,
109,Sylhet Medical College Hospital,,
110,Sylhet Women's Medical College,,
111,The Medical College for Women and Hospital,,
112,Union Specialized Hospital Limited, Aftabnagor, Dhaka[21]
113,Z.H. Sikder Women's Medical College and Hospital (Pvt.) Ltd.,,
114,Shaheed Ahsan Ullah Master General Hospital,,
115,Shaheed Suhrawardy Medical College & Hospital,,
253,,,
254,,,
