,0
0,"#


Name


Address


Mobile"
1,"1


Shahid Suhrawardy Hospital


Ser-e-Banglanagar, Collegegate


9122560-78"
2,"2


Ad-Din Hospital


Moghbazar, Dhaka


9353391-3"
3,"3


Ahmed Medical Centre Ltd


House # 71, Road # 15-A, (New), Dhanmondi C/A


8113628"
4,"4


Aichi Hospital


House # 13, Eshakha Avenue Sector # 6, utttara Dhaka


8916290,8920165"
5,"5


Al Anaiet Adhunik Hospital


House # 36, Road # 3, Dhanmondi


8631619"
6,"6


Al- Helal Speacialist Hospital


150,Rokeya Sarani Senpara ParbataMirpur-10, Dhaka


9006820,9008181"
7,"7


Al Jebel-E-Nur Heart Ltd


House # 21, Road # 9/A (New),Dhanmondi


8117031"
8,"8


Al- Rajhi Hospital


12, Farmgate-1215, Dhaka


8119229,8121172,9117775"
9,"9


Al-Ahsraf General Hospital


House # 12 Road # 21,Sector # 4,Uttara Dhaka


8952851-2"
10,"10


Al-Biruni Hospital


23/1, Khilzee Road, Shyamoli


8118905, 9115953"
11,"11


Al-Fateh Medical Sevices (Pvt) Ltd


11, Farmgate over Bridge East Side


9120615"
12,"12


Al-Madina General Hospital (Pvt.) Ltd


2/A, Golden Street, Ring Road, Shamoli, Dhaka


8118709"
13,"13


Al-Manar Hospital


5/4, Block-F, Lalmatia Dhaka - 1207


9121387, 9121588"
14,"14


Al-Markazul Islami Hospital


21/17, Babar Road, Mohammadpur


8114980, 9129426"
15,"15


Al-Mohite General Hospital & Diagnostic Centre


House # 11, Road # 2, Shamoli


9113831, 9114220 Ext 238"
16,"16


Amri Hospitals


Kolkata Bangladesh Information Center: C/O R R Trading & Co. Erectors House (10 th Flr.)

 "
17,"17


Kemal Ataturk Avenue


Banani C/A, Dhaka - 1213


9893528-9"
18,"18


Anjuman-E-Mofidul Islam


Dhaka


9336611"
19,"19


Appolo Hospital


20/5, Babar Road, (Ground Floor), Block # B, Mohammadpur


8152549"
20,"20


Arimo General Hospital


Matuil, Deamra Road

 "
21,"21


Arogya Niketan Hospital Ltd


242-243, New Circular Road, Malibagh


9333730"
22,"22


Aysha Memorial Specialized Hospital


74/G, Arjatpara, Mohakhali, Dhaka


9122689, 9122690"
23,"23


B.D.F. Hospital


5/7, Humayaun Road, Block # D, Mohammadpur


8123730, 8116637"
24,"24


Bangabandhu Shiekh Mujib Medical University


Shabagh, Dhaka


8614001-9, 8614545"
25,"25


Bangal Nursing Home Ltd


Lake Circus, Kalabagan, Dhaka


9114824"
26,"26


Bangkok Hospital


Office, Bangladesh Lion Complex (4th Floor), 73, New Airport Road, Tejgaon


9139777, 9134982, 9113864"
27,"27


Bangladesh Association For The Aged & Institute Of Gerecitric Medicine


Agargaon, Sher-e-Bangla Nagar


9129814"
28,"28


Bangladesh Heart & Chest Hospital


Road # 27 (Old), 16 (New), House # 47, Dhanmondi


9114266, 8123977"
29,"29


Bangladesh Medical College


House # 35, Road # 14/A, Dhanmondi


9118202, 8115843"
30,"30


Bangladesh Telemedicine Services Ltd


Comfort Tower, 167/B, Green Road, Dhanmondi


8124990 Ext 660, 284"
31,"31


Bari-Llizarov Orthopedic


(Bio) Centre House # 77 (New) 831 (Old), Road # 9/A (New) 19 (Old), Dhanmondi R/A


9120309, 8117876"
32,"32


Bari-Llizarov Orthopedic


Centre House # 831, Road # 19 (Old), Dhanmondi R/A


9120309, 8117876"
33,"33


Bdm Hospital


5/17, Humaund Road, Block # B, Mohammedpur


8113481"
34,"34


Bengal Nursing Home (Pvt.) Ltd


70/C, Clke Circus kalabagan


8116007"
