,data
0,4.80 Dhaka Eye Care Hospital    (4228 reviews)
1,4.30 Dhaka Medical College Hospital    (1846 reviews)
2,4.20 Sir Salimullah Medical College    (1622 reviews)
3,4.00 United Hospital Limited    (1444 reviews)
4,4.10 Mugda Medical College and Hospital    (1412 reviews)
5,4.20 Shaheed Suhrawardy Medical College and Hospital    (1398 reviews)
6,4.40 Kurmitola General Hospital    (1196 reviews)
7,4.30 Ispahani Islamia Eye Institute and Hospital    (1019 reviews)
8,4.40 National Institute Of Neurosciences & Hospital    (1012 reviews)
9,3.80 Green Life Medical College Hospital    (948 reviews)
10,4.30 National Heart Foundation Hospital & Research Institute    (912 reviews)
11,4.40 Praava Health    (906 reviews)
12,4.10 Bangladesh Medical College Hospital    (844 reviews)
13,4.50 Combined Military Hospital (CMH)    (794 reviews)
14,"4.40 IBN SINA Medical College Hospital, Kallyanpur    (738 reviews)"
15,4.00 Ad-Din Women's Medical College Hospital    (682 reviews)
16,3.90 Anwer Khan Modern Medical College Hospital    (663 reviews)
17,3.80 BRB Hospitals Limited    (628 reviews)
18,4.10 Holy Family Red Crescent Medical College Hospital    (546 reviews)
19,"5.00 Dolfin Hospital & Infertility Centre (DHIC), Kamrangirchar    (532 reviews)"
20,4.00 Samorita Hospital Ltd    (475 reviews)
21,4.30 Ibn Sina Diagnostic and Imaging Center (Dhanmondi 9A)    (471 reviews)
22,3.70 Popular Diagnostic Centre Ltd.    (471 reviews)
23,"4.00 Islami Bank Central Hospital, Kakrail    (471 reviews)"
24,4.10 National Institute of Cardiovascular Diseases    (457 reviews)
25,4.20 Kidney Foundation Hospital and Research Institute Bangladesh    (456 reviews)
26,3.90 Popular Medical College Hospital    (447 reviews)
27,4.10 Bangladesh Eye Hospital & Institute    (437 reviews)
28,4.20 Zainul Haque Sikder Women's Medical College    (435 reviews)
29,4.50 Sheikh Hasina National Institute of Burn & Plastic Surgery    (408 reviews)
30,4.00 LABAID Cardiac Hospital    (393 reviews)
31,"4.10 DNCC Dedicated Covid-19 Hospital, Mohakhali, Dhaka-1212    (390 reviews)"
32,3.90 Khidmah Hospital Private Limited    (385 reviews)
33,4.00 Islami Bank Hospital Mirpur    (382 reviews)
34,3.70 Farazy Hospital Ltd.    (334 reviews)
35,3.80 City Hospital & Diagnostic Center    (323 reviews)
36,3.90 Dhaka Central International Medical College & Hospital (DCIMCH)    (320 reviews)
37,4.30 Centre for the Rehabilitation of the Paralysed (CRP) - Mirpur    (313 reviews)
38,3.90 Japan Bangladesh Friendship Hospital    (312 reviews)
39,"5.00 Promident Dental Clinic,Banani    (311 reviews)"
40,4.50 Central Police Hospital    (309 reviews)
41,4.10 BIHS General Hospital    (304 reviews)
42,4.30 National Institute of Cancer Research & Hospital (NICRH)    (299 reviews)
43,4.50 Teaching & Training Pet Hospital and Research Center    (299 reviews)
44,"4.30 Ibn Sina Diagnostic & Consultation Centre, Uttara    (299 reviews)"
45,4.00 Comfort Diagnostic Centre Pvt. Ltd.    (291 reviews)
46,4.20 Marie Stopes Bangladesh    (286 reviews)
47,3.50 Uttara Crescent Hospital    (284 reviews)
48,4.60 DPRC Hospital and Diagnostic Lab    (280 reviews)
49,4.80 New Roots Hair Clinic & Advanced Hair Transplant Centre    (275 reviews)
50,"4.00 Islami Bank Hospital, Motijheel    (271 reviews)"
51,3.70 Hi-Tech Multicare Hospital    (266 reviews)
52,4.20 East West Medical College & Hospital    (259 reviews)
53,4.60 Intertek House Bangladesh    (258 reviews)
54,4.30 Ahsania Mission Cancer and General Hospital - AMCGH    (258 reviews)
55,3.90 Dr. Sirajul Islam Medical College & Hospital Ltd.    (255 reviews)
56,4.10 ইনসাফ বারাকাহ কিডনি এন্ড জেনারেল হাসপাতাল    (254 reviews)
57,4.30 Lions Eye Institute & Hospital    (251 reviews)
58,4.10 Dhaka Community Medical College and Hospital    (243 reviews)
59,4.90 Treat Expert - CMC Hospital vellore India online doctor appointment service Dhaka Bangladesh BD    (243 reviews)
60,"4.10 Ibn Sina D.Lab & Consultation Center, Doyagonj    (242 reviews)"
61,3.50 Lubana General Hospital & Uttara Cardiac Center    (240 reviews)
62,4.00 Harun Eye Foundation Hospital    (240 reviews)
63,4.20 Makka Eye Hospital    (238 reviews)
64,4.00 Dr. MR Khan Shishu hospital & Institute of Child Health    (237 reviews)
65,4.20 Ibn Sina Diagnostic & Consultation Center (Badda)    (234 reviews)
66,3.50 Al Helal Specialized Hospital Dhaka    (232 reviews)
67,3.60 Salauddin Specialized Hospital Ltd.    (232 reviews)
68,4.20 Shaheed Monsur Ali Medical College and Hospital    (230 reviews)
69,4.30 National Institute of Mental Health and Hospital    (227 reviews)
70,3.70 S.P.R.C & Neurology Hospital    (225 reviews)
