,data
0,3.10 Hi-Care General Hospital Ltd.    (154 reviews)
1,3.50 Central Veterinary Hospital    (152 reviews)
2,3.70 Metropolitan Medical Centre Ltd.    (152 reviews)
3,4.10 Vision Eye Hospital    (151 reviews)
4,3.80 Marks Medical College & Nursing Unit    (143 reviews)
5,4.00 Ashiyan Medical College Hospital    (137 reviews)
6,4.40 The ENT and Head Neck Cancer Hospital and Institute    (134 reviews)
7,4.40 UK Dental Clinic    (133 reviews)
8,3.70 LABAID GULSHAN    (133 reviews)
9,4.00 Northern International Medical College Hospital    (131 reviews)
10,3.80 DR. AZMAL HOSPITAL LTD.    (129 reviews)
11,3.70 The Barakah General Hospital Limited    (123 reviews)
12,4.20 Ibn Sina Diagnostic and Consultation Centre Lalbagh Ltd.    (123 reviews)
13,4.40 Plan International Bangladesh    (122 reviews)
14,3.80 Siraj-Khaleda Memorial Cantonment Board General Hospital    (119 reviews)
15,3.50 Mirpur Adhunik Hospital And Diagnostic Center    (117 reviews) CLOSED
16,3.50 Rushmono Specialized Hospital    (115 reviews)
17,"4.30 Ibn Sina Medical Imaging Center, Zigatola.    (108 reviews)"
18,"4.80 Neurology specialist: Dr. Aminur Rahman, MD FACP(USA) MBBS    (105 reviews)"
19,3.70 কিংস্টন হসপিটাল    (104 reviews)
20,4.40 250 Beded E-TB and chestdiseases Hospital and one stop TB service centre    (102 reviews)
21,"4.20 Dr Batra’s Homeopathy Clinic, Gulshan    (102 reviews)"
22,3.50 Dhaka Imperial Hospital    (102 reviews)
23,3.30 SP Hospital    (101 reviews)
24,3.80 Badda General Hospital Pvt. Ltd.    (99 reviews)
25,4.30 Wahab Medical Practice    (96 reviews)
26,3.80 Prescription Point    (96 reviews)
27,4.00 Bangladesh Spine & Orthopaedic Hospital -BSOH    (95 reviews)
28,3.70 Al-Raji Hospital Pvt. Ltd.    (94 reviews)
29,"3.70 পপুলার ডায়গনস্টিক সেন্টার লিমিটেড, বাড্ডা    (94 reviews)"
30,4.20 Maternal and Child Health Training Institute    (92 reviews)
31,"3.70 Islami Bank Hospital Mugda, Dhaka    (90 reviews)"
32,3.60 Euro-Bangla Heart Hospital    (87 reviews)
33,3.80 OSB EYE HOSPITAL    (87 reviews)
34,3.80 Laser Treat Banani Branch    (85 reviews)
35,3.70 KC Hospital & Diagnostic Center    (83 reviews)
36,3.80 ফরিদা ক্লিনিক    (80 reviews)
37,3.80 Selina General Hospital & Diagnostic center.    (80 reviews) CLOSED
38,3.60 Standard Medical Center- GAMCA    (78 reviews)
39,4.20 BGB Hospital    (75 reviews)
40,3.50 Shin Shin Japan Hospital    (73 reviews)
